source,target,bigram_weight,similarity_weight,total_weight,edge_type
(m)un-taš-dingir-gal,ša-ak,10.5,0,10.5,bigram
an-za-an,šu-šu-un-ka,9.9,0,9.9,bigram
(m)un-taš-dingir-gal,u2,9.6,0,9.6,bigram
an-za-an,su-un-ki-ik,7.35,0,7.35,bigram
hu-ut-tak-ha-li-ik,u2-me,5.55,0,5.55,bigram
hu-us-si-ip-me,ku-ši-ih,4.5,0.6748,5.1748,both
hu-us-si-ip-me,u2-pa-at,4.5,0,4.5,bigram
hi-ih,tu4-ur,4.05,0,4.05,bigram
(md)hu-um-ban-nu-me-na-gi,ša-ak,3.9,0,3.9,bigram
du-ni-ih,in,3.0,0.6732,3.6732,both
a-ak,dingir-gal,2.85,0.6905,3.5405,both
si-it-me,u2-me,2.7,0.7732,3.4732,both
li-na,te-la-ak-ni,3.45,0,3.45,bigram
si-ia-an,šu-šu-un-ka,3.3,0,3.3,bigram
tu4-ur,u2-me,2.55,0.74,3.29,both
hi-ih,si-it-me,3.15,0,3.15,bigram
dingir-gal,u2-me,2.25,0.8131,3.0631,both
an-za-an,zu-un-ki-ik,3.0,0,3.0,bigram
in,si-ia-an-ku-uk-ra,2.1,0.7745,2.8745,both
(d)in-šu-uš-na-ak,a-ak,1.95,0.8928,2.8428,both
ta-ak-me,u2-me,2.7,0,2.7,bigram
ki-it-ti-im-ma,na-a,2.55,0,2.55,bigram
a-gi,si-ia-an,1.65,0.7601,2.4101,both
dingir-gal,ku-ši-ih,2.4,0,2.4,bigram
ki-it-ti-im-ma,pi-el,2.25,0,2.25,bigram
me-lu-uk-ra,na-a,2.25,0,2.25,bigram
az-ki-it,tu4-ur,2.25,0,2.25,bigram
hu-šu-ia,in-gi,2.1,0,2.1,bigram
in,tu4-ni-ih,2.1,0,2.1,bigram
ta-ak-me,šu-šu-un-ka,1.95,0,1.95,bigram
(md)hu-um-ban-nu-me-na-gi,su-un-ki-ik,1.95,0,1.95,bigram
(md)hu-um-ban-nu-me-na-gi,zu-un-ki-ik,1.95,0,1.95,bigram
(d)in-šu-uš-na-ak,dingir-gal,1.05,0.7593,1.8093,both
du-ni-ih,hu-ut-tak-ha-li-ik,1.8,0,1.8,bigram
te-la-ak-ni,ul-li-na,1.8,0,1.8,bigram
sah-ri,tu4-ur,1.8,0,1.8,bigram
ir,ša-ri-ih,1.8,0,1.8,bigram
a-gi,in-ti-ik-ka,1.05,0.6272,1.6772,both
(d)in-šu-uš-na-ak,si-ia-an-ku-uk-pa,1.65,0,1.65,bigram
li-na,si-ia-an-ku-uk-pa,1.65,0,1.65,bigram
hu-šu-ia,sah-ri,1.65,0,1.65,bigram
si-ia-an,u2-pa-at,0.9,0.7364,1.6364,both
(d)in-šu-uš-na-ak,si-ia-an-ku-uk-ra,0.9,0.7236,1.6236,both
hi-en-ka,in-gi,0.9,0.6754,1.5754,both
a-gi,dingir-gal,0.75,0.7537,1.5037,both
hi-en-ga,in-gi,1.5,0,1.5,bigram
hu-ut-tak-ha-li-ik,tu4-ni-ih,1.5,0,1.5,bigram
(m)un-taš-dingir-gal,u3,1.5,0,1.5,bigram
in,si-a-an-ku-uk-ra,0.75,0.7317,1.4817,both
(d)in-šu-uš-na-ak,a-gi,0.75,0.6806,1.4306,both
(d)in-šu-uš-na-ak,ku-ši-ih,0.6,0.8134,1.4134,both
ku-ši-ih,si-ia-an,0.75,0.6462,1.3962,both
(d)in-šu-ši-na-ak,a-ak,1.35,0,1.35,bigram
hu-ut-tak-ha-li-ik,mu-ur-tah,1.35,0,1.35,bigram
[…],u2-me,0.45,0.8434,1.2934,both
(d)in-šu-uš-na-ak,u2-me,0.45,0.7977,1.2477,both
ku-ši-ih,u2,0.6,0.6427,1.2427,both
(md)hu-um-ban-nu-me-na-ki,ša-ak,1.2,0,1.2,bigram
(d)PA.TUG2,u2-me,0.45,0.6192,1.0692,both
tu4-ur,zu-un-ki-me,1.05,0,1.05,bigram
dingir-gal,si-ia-an-ku-uk-ra,0.3,0.7003,1.0003,both
a-ak,tu4-ur,0,0.9576,0.9576,similarity
in,u2-me,0,0.9324,0.9324,similarity
u2-me,u2-pa-at,0,0.9266,0.9266,similarity
(d)in-šu-ši-na-ak,si-ia-an,0.3,0.626,0.926,both
a-gi,ku-ši-ih,0.15,0.7584,0.9084,both
u2-me,šu-ul-lu-me-en-ga,0.9,0,0.9,bigram
az-ki-it,šu-ul-lu-me-en-ga,0.9,0,0.9,bigram
hi-ih,zi-it-me,0.9,0,0.9,bigram
hi-en-ka,in-ti-ik-ka,0.9,0,0.9,bigram
(d)in-šu-ši-na-ak,si-ia-an-ku-uk-pa,0.9,0,0.9,bigram
(d)in-šu-uš-na-ak,te-ip-ti,0.9,0,0.9,bigram
u2-me,šu-ul-lu-me-ga,0.9,0,0.9,bigram
pi-el,šu-šu-un-ka,0.9,0,0.9,bigram
(md)hu-um-ban-nu-me-na-ki,su-un-ki-ik,0.9,0,0.9,bigram
ku-ši-ih,u2-me,0,0.8825,0.8825,similarity
hu-us-si-ip-me,in,0,0.8563,0.8563,similarity
in,ku-ši-ih,0,0.8494,0.8494,similarity
(d)in-šu-ši-na-ak,ku-ši-ih,0.15,0.6943,0.8443,both
a-ak,u2-me,0,0.8387,0.8387,similarity
dingir-gal,in,0.15,0.6819,0.8319,both
in,si-it-me,0,0.8216,0.8216,similarity
dingir-gal,si-ia-an,0.15,0.6716,0.8216,both
in,si-ia-an,0,0.8183,0.8183,similarity
a-gi,si-ia-an-ku-uk-ra,0,0.818,0.818,similarity
ku-ši-ih,u2-pa-at,0,0.8171,0.8171,similarity
a-gi,hi-en-ka,0,0.8134,0.8134,similarity
a-pu-un,u2-me,0,0.8089,0.8089,similarity
hi-en-ka,tu4-ur,0,0.8046,0.8046,similarity
a-ha-ar,in,0,0.8038,0.8038,similarity
a-ak,si-ia-an-ku-uk-ra,0,0.7944,0.7944,similarity
in,si-ia-an-ku-uk-pa,0.15,0.6404,0.7904,both
in,ki-it-ti-im-ma,0,0.788,0.788,similarity
a-ak,šu-šu-un-ka,0,0.7874,0.7874,similarity
hu-us-si-ip-me,u2-me,0,0.7853,0.7853,similarity
a-ak,ku-ši-ih,0,0.7833,0.7833,similarity
du-ni-ih,si-ia-an,0.15,0.6326,0.7826,both
hu-ut-tak-ha-li-ik,ku-ši-ih,0.15,0.6322,0.7822,both
[…],u2-pa-at,0,0.7818,0.7818,similarity
u2,u2-pa-at,0,0.7813,0.7813,similarity
a-ak,in,0,0.7791,0.7791,similarity
hi-en-ka,u2-me,0,0.7786,0.7786,similarity
a-gi,u2-me,0,0.7764,0.7764,similarity
az-ki-it,u2-me,0,0.7742,0.7742,similarity
du-ni-ih,u2-me,0,0.7675,0.7675,similarity
tu4-ur,šu-šu-un-ka,0,0.7668,0.7668,similarity
ku-ši-ih,tu4-ur,0,0.7668,0.7668,similarity
