doc_id,word_count,pc1,pc2,pc3,pc4,pc5
UntN TZ 1,86,-1.9983,15.142,16.5131,-1.0521,22.1458
UntN TZ 2,41,-0.9529,1.6757,2.6082,-0.7199,4.7516
UntN TZ 3,57,-1.3949,8.292,8.1712,-0.1433,5.2624
UntN TZ 4,35,-0.4579,-2.0505,-0.1709,0.7187,-0.33
UntN TZ 5,38,-0.8376,0.1907,-1.0541,-1.0816,-0.0546
UntN TZ 6,35,-0.4766,-1.7454,0.2934,0.4372,-0.4609
UntN TZ 7,15,-0.7831,-1.7326,-0.4865,-1.3661,-0.0001
UntN TZ 8,38,-0.5388,-2.036,-0.1315,0.3475,-0.4853
UntN TZ 9,1,-0.1911,-0.4788,0.0568,-0.2824,-0.1729
UntN TZ 10,15,-0.8226,-1.5738,-0.4816,-1.3866,-0.0192
UntN TZ 11,17,-0.7835,-1.3183,-0.4804,-1.42,-0.0176
UntN TZ 12,17,-0.7933,-1.3516,-0.4288,-1.3682,0.0713
UntN TZ 13,15,-0.7848,-1.4695,-0.5375,-1.3837,-0.1368
UntN TZ 13a,22,-0.6545,-1.3934,-0.3818,-1.2229,0.0743
UntN TZ 14,17,-0.789,-1.3222,-0.4834,-1.439,-0.0218
UntN TZ 15,37,-0.7084,1.4081,-3.6647,3.5504,-2.0221
UntN TZ 16,38,-0.5326,-1.7767,-0.2248,-0.028,-0.4248
UntN TZ 17,35,-0.4883,-2.0937,-0.2998,0.548,-0.4856
UntN TZ 18,30,-0.8064,-1.5952,0.6347,-0.743,0.6649
UntN TZ 19,27,-0.7034,-1.6327,-0.0097,-1.0449,0.2853
UntN TZ 20,32,-0.5305,-2.0322,0.0017,-1.9122,-0.4763
UntN TZ 21,28,-0.6648,-0.5396,-1.0291,-2.7758,-1.3833
UntN TZ 22,87,-2.8172,32.7058,-5.0427,1.669,13.3244
UntN TZ 23,68,-2.429,26.0117,-26.4139,-0.6138,-17.4848
UntN TZ 24,23,-0.7502,-1.0383,-0.2411,-1.3622,0.6643
UntN TZ 25,42,-0.4454,-1.398,-0.1355,0.5733,-0.0389
UntN TZ 26,38,-0.4826,-1.6372,-0.1042,0.6238,-0.0654
UntN TZ 27,41,-0.4994,-2.2162,-0.1398,0.4055,-0.7731
UntN TZ 28,36,-0.4811,-2.2241,-0.1694,0.4739,-0.4405
UntN TZ 29,35,-0.4642,-2.2912,-0.2108,0.4799,-0.5001
UntN TZ 30,35,-0.4896,-2.1636,-0.2825,0.4046,-0.4543
UntN TZ 31,24,-0.737,0.1336,0.0272,-0.9097,-0.3725
UntN TZ 32,22,-0.5961,-0.9802,0.0273,-1.5544,0.012
UntN TZ 33,15,-0.7814,-1.5504,-0.443,-1.2895,-0.0314
UntN TZ 34,35,-0.4793,-2.1253,-0.2319,0.4611,-0.4319
UntN TZ 35,39,0.3504,-2.1467,-0.0823,0.2044,-0.3474
UntN TZ 36,19,-0.7019,-1.605,-0.3878,-1.0014,-0.0623
UntN TZ 37,20,-0.6701,-0.2475,-0.7557,-1.4775,-0.3656
UntN TZ 38,32,0.196,-1.8558,0.0713,-2.4389,-0.1648
UntN TZ 39,16,-0.5467,-1.2724,-0.1028,-1.0736,-0.3081
UntN TZ 40,59,1.7955,-2.7038,-1.3989,27.2205,0.9988
UntN TZ 41,49,56.12,3.0857,0.0735,-2.3074,0.1836
UntN TZ 42,58,1.3751,-2.57,-1.8517,31.2933,1.7989
UntN TZ 43,29,-0.6081,0.0208,-1.4961,1.3482,-0.376
UntN TZ 44,16,-0.3197,-1.161,-0.0863,0.1427,-0.4388
UntN TZ 45,14,-0.6077,-1.0829,-0.1628,-0.2096,0.5345
UntN TZ 46,2,-0.364,-0.7527,-0.046,-0.3511,-0.211
UntN TZ 47,12,-0.8481,-1.5839,-0.556,-1.4866,-0.0749
UntN TZ 48,19,-0.2061,-0.8582,-0.2667,-0.2711,-0.4238
UntN TZ/S 1,40,-0.551,-1.6494,-0.4957,0.639,-0.3351
UntN TZ/S 2,12,-0.7066,-1.5545,-0.5086,-0.8626,-0.0169
UntN TZ/S 3,29,-0.6999,-0.8119,-0.2275,-1.2123,0.4483
UntN TZ/S 4,29,-0.6997,-0.8024,-0.2227,-1.214,0.4529
UntN TZ/S 5,23,-0.7825,-1.1695,-0.3918,-1.2319,0.0975
UntN TZ/S 6,29,-0.7248,-0.8203,-0.25,-1.2945,0.4553
UntN TZ/S 7,41,-0.6792,-1.5502,0.3272,-0.0767,0.6329
UntN TZ/S 8,46,-0.8327,-1.1804,-0.105,-2.3306,0.4946
UntN TZ/S 9,32,-0.6975,-0.8509,-0.3522,-0.8462,0.1248
UntN TZ/S 10,13,-0.7793,-1.3167,-0.3109,-0.8181,0.3662
UntN TZ/S 11,36,-0.7023,-0.9879,0.1893,-0.7661,0.713
UntN TZ/S 12,24,-0.724,-1.0132,-0.4831,-0.8669,0.0209
UntN TZ/S 13,23,-0.7227,-1.3745,-0.2419,-1.2171,0.0691
UntN TZ/S 14,14,-0.4546,-1.4851,0.5038,-0.8592,0.748
UntN TZ/S 15,29,-0.9376,-1.2755,0.0652,-2.515,0.2366
UntN TZ/S 16,24,-0.6998,-0.8621,0.1517,-1.8472,-0.9372
UntN X 1,25,-0.0863,-1.5619,-0.3783,0.3835,-2.4521
UntN X 2,21,-0.3795,-1.313,-0.0699,-0.1122,0.464
UntN S 1,12,-0.8724,-1.4997,-0.5986,-1.4017,-0.0283
UntN S 2,12,-0.7168,-1.5782,-0.441,-0.9634,0.1213
UntN S 3,12,-0.7148,-1.5651,-0.4407,-0.9711,0.1139
UntN S 4,15,-0.6396,-1.4073,-0.4037,-1.2148,-0.2668
UntN S 5,26,-0.9243,1.0712,-2.6578,0.2212,-0.6521
UntN S 6,15,-0.8226,-1.5738,-0.4816,-1.3866,-0.0192
UntN S 7,32,-0.6939,-1.2844,-0.0048,-1.1572,0.3912
UntN S 8,32,-0.7283,-1.4813,-0.0295,-1.2305,0.2394
UntN S 9,47,-0.8489,-1.2081,-0.066,-2.3478,0.4538
UntN S 10,47,-0.81,-1.2121,-0.0753,-2.1418,0.416
UntN S 11,46,-0.8254,-1.2907,-0.0913,-2.3323,0.4441
UntN S 12,40,-1.0647,1.2807,-1.584,1.8207,5.1473
UntN S 13,34,-0.6728,-0.9536,-0.2651,-1.9456,2.024
UntN S 14,12,-0.8437,-1.6564,-0.4524,-1.3478,0.0451
UntN PAE,52,-0.7089,-3.9062,-0.0799,-1.0122,-6.6377
UntN GOT,26,-0.7925,-1.6541,-0.1033,-1.9456,-0.3032
UntN D,29,-0.7656,-1.3006,0.0855,-2.1808,1.1533
Nasu,42,-1.5135,15.7399,32.4845,3.4004,-25.1402
