source,target,weight
u2-me,in,0.6216
u2-me,u2-pa-at,0.6177
u2-me,ku-ši-ih,0.5883
u2-me,[…],0.5622
u2-me,a-ak,0.5591
u2-me,dingir-gal,0.5421
u2-me,a-pu-un,0.5392
u2-me,(d)in-šu-uš-na-ak,0.5318
u2-me,hu-us-si-ip-me,0.5235
u2-me,hi-en-ka,0.5191
u2-me,a-gi,0.5176
u2-me,az-ki-it,0.5162
u2-me,si-it-me,0.5155
u2-me,du-ni-ih,0.5116
u2-me,in-gi,0.5031
u2-me,si-ia-an-ku-uk-ra,0.5018
u2-me,u2,0.4996
u2-me,tu4-ur,0.4933
u2-me,su-un-ki-ik,0.4824
u2-me,hi-en-ga,0.4809
u2-me,šu-šu-un-ka,0.4792
u2-me,a-ha-ar,0.4586
u2-me,si-ia-an-ku-uk,0.4509
u2-me,sah-ri,0.4329
u2-me,hi-ih,0.425
u2-me,ir,0.4199
u2-me,an-za-an,0.4183
u2-me,(d)in-šu-ši-na-ak,0.4182
u2-me,(d)PA.TUG2,0.4128
u2-me,si-ia-an,0.4101
u2-me,pi-[el,0.4089
u2-me,ki-it-ti-im-ma,0.3889
u2-me,hu-šu-ia,0.3877
u2-me,si-a-an-ku-uk-ra,0.3853
u2-me,u2-ri-pu-pi,0.3838
u2-me,mu-ur-tah,0.3751
u2-me,i,0.3673
u2-me,ta-ak-me,0.3657
u2-me,hu-ut-tak-ha-li-ik,0.3654
u2-me,im-me,0.3625
u2-me,zu-un-ki-me,0.3553
u2-me,(d)ki-ri-ri-ša,0.3503
u2,u2-pa-at,0.5209
u2,tu4-ur,0.4831
u2,a-ak,0.4362
u2,ku-ši-ih,0.4284
u2,hi-en-ga,0.4273
u2,mu-ur-tah,0.4243
u2,dingir-gal,0.4114
u2,si-ia-an-ku-uk,0.403
u2,hi-ih,0.4002
u2,u2-ri-pu-pi,0.3986
u2,a-gi,0.3985
u2,su-un-ki-ik,0.3955
u2,me-lu-uk-ra,0.3818
u2,(d)ki-la-ah-šu-pi-ir,0.3817
u2,hi-en-ka,0.378
u2,in,0.377
u2,un,0.3768
u2,ul-li-na,0.3738
u2,a-pu-un,0.3632
u2,[…],0.3632
u2,su-un-ki-me,0.3622
u2,in-gi,0.362
u2,ta-ak-me,0.3617
ku-ši-ih,in,0.5663
ku-ši-ih,u2-pa-at,0.5447
ku-ši-ih,(d)in-šu-uš-na-ak,0.5423
ku-ši-ih,a-ak,0.5222
ku-ši-ih,tu4-ur,0.5112
ku-ši-ih,a-gi,0.5056
ku-ši-ih,si-ia-an-ku-uk-ra,0.503
ku-ši-ih,si-a-an-ku-uk-ra,0.4995
ku-ši-ih,hi-en-ka,0.4975
ku-ši-ih,šu-šu-un-ka,0.49
ku-ši-ih,[…],0.4895
ku-ši-ih,in-gi,0.4884
ku-ši-ih,hi-ih,0.4684
ku-ši-ih,(d)in-šu-ši-na-ak,0.4628
ku-ši-ih,hu-us-si-ip-me,0.4499
ku-ši-ih,su-un-ki-ik,0.4491
ku-ši-ih,du-ni-ih,0.4415
