word,degree,strength,eigenvector,bridging,pc1,pc2,pc3
(d)30,6,1.5,0.015586,4.0,-0.0034,-0.0063,-0.0002
(d)PA.TUG2,11,4.241,0.047,6.6,-0.0035,-0.0093,-0.0021
(d)[hu]-um-ban-nu-me-na-gi,2,0.3,0.002233,2.0,-0.0026,-0.0063,0.003
(d)[…,2,0.3,3.7e-05,2.0,-0.0018,-0.0049,0.0005
(d)[…],2,0.3,0.002385,2.0,-0.0018,-0.0049,0.0005
(d)aiba-sunkir,2,0.3,0.00253,2.0,-0.002,-0.0058,-0.0019
(d)be-la-la,6,0.9,0.00891,4.0,-0.0025,-0.0044,-0.0
(d)be-li-li-me,2,0.3,0.004162,0.0,-0.0021,-0.0008,-0.0031
(d)da-mu-si,2,0.3,0.003254,0.0,-0.0021,-0.0008,-0.0031
(d)ha-te-ri-iš-[…],2,0.3,0.000114,2.0,-0.0021,-0.0145,-0.0003
(d)ha-te-ri-iš-nu,2,0.3,0.002256,2.0,-0.0021,-0.0145,-0.0003
(d)ha-te-ri-iš-nu-me,2,0.3,0.003143,0.0,-0.0021,-0.0145,-0.0003
(d)hi-iš-mi-di-ik,3,0.6,0.005383,2.0,-0.0016,-0.0075,0.0002
(d)hi-iš-mi-ti-ik,3,0.9,0.013128,0.0,-0.003,-0.0053,-0.0023
(d)hi-iš-mi-ti-ik2,2,0.3,0.003254,0.0,-0.002,-0.0028,-0.0011
(d)hu-ba-nu-me-en-na-ki,2,0.3,0.002233,2.0,-0.0016,-0.0064,0.0015
(d)hu-ban-[um]-me-na-ki,2,0.3,0.002233,2.0,0.0006,-0.0081,0.0001
(d)hu-ban-nu-me-en-na-ki,2,0.3,0.002233,2.0,-0.0017,-0.0073,-0.0004
(d)hu-ban-nu-me-na-gi,2,0.3,0.001355,2.0,-0.0025,0.0007,-0.0045
(d)hu-ban-nu-me-na-ki,2,0.6,0.004466,2.0,-0.0026,-0.0089,-0.002
(d)hu-ban-um-me-en-na-ki,3,1.2,0.008054,3.0,-0.0031,-0.0075,-0.0087
(d)hu-ban-um-me-na-ki,2,0.3,0.002233,2.0,-0.0032,0.0049,-0.0068
(d)hu-um-ban,4,0.6,0.00582,2.6667,-0.0016,-0.0081,-0.0003
(d)hu-um-ban-me,2,0.3,0.001844,0.0,-0.0016,-0.0081,-0.0003
(d)hu-um-ban-nu-me-na-gi,2,0.6,0.004466,2.0,-0.0027,-0.0074,-0.0027
(d)hu-um-ban-um-me-en-na-ki,2,0.3,0.002233,2.0,-0.0016,-0.0081,-0.0003
(d)im,5,1.5,0.018912,2.0,-0.0035,-0.0074,-0.0028
(d)in-na-na,3,0.6,0.003813,2.0,-0.0019,-0.0041,0.0003
(d)in-šu-[uš-na-ak,2,0.3,2.4e-05,2.0,-0.0021,-0.0035,0.0017
(d)in-šu-[uš]-na-ak,2,0.3,0.0,2.0,0.162,0.0115,0.0003
